Issue ID,First Observed,Last Observed,CVE,Vulnerability,Certificate Common Name,ipAddress,ipAddresses,hostname,port,email,productName,productVersion,Certificate Common Name,Collection Target,Port,banner,Data,source,url,explanation,vulnerabilityDescription,vulnerabilityPublishDate,Last Observed,Last Observed
10f99896-9938-534a-89a8-2e6a02c4bf17,,,,,,,,,,,,,*.med.nyu.edu,216.165.125.141,443,,,,,,,,,2020-03-05T22:57:38.128Z
ca63a92b-4766-5581-944e-0dd651aa230f,,,,,,,,,,,,,*.med.nyu.edu,216.165.125.110,443,,,,,,,,,2020-03-05T22:54:30.770Z
e8cdc23e-cc01-585c-b0e9-1353d8a142e5,,,,,,,,,,,,,*.med.nyu.edu,216.165.125.108,443,,,,,,,,,2020-03-05T22:50:28.842Z
300e721b-079e-5e91-be9f-5644f2f33f5a,,,,,,,,,,,,,www.nyu.edu,52.198.45.18,443,,,,,,,,,2020-03-05T22:20:58.235Z
d21d48ad-5ebf-5557-963c-6e7abb178dca,,,,,,,,,,,,,online.engineering.nyu.edu,52.0.197.6,443,,,,,,,,,2020-03-05T22:02:04.592Z
bdd9add8-6dea-5680-9879-04afbad91795,,,,,,,,,,,,,secure-usea1-1.tessituranetwork.com,72.29.98.163,443,,,,,,,,,2020-03-05T20:42:46.700Z
d70863b8-7991-5792-8fbb-832e5d3d6f61,,,,,,,,,,,,,sandboxclasses1.home.nyu.edu,216.165.48.14,443,,,,,,,,,2020-03-05T20:39:15.900Z
08125469-74ec-55f8-acf4-6a9bab10112b,,,,,,,,,,,,,horatio.cs.nyu.edu,216.165.22.17,443,,,,,,,,,2020-03-05T19:40:57.834Z
5dd71dbc-e3ff-502b-b0b4-cdd8b4a51c6e,,,,,,,,,,,,,ais.stern.nyu.edu,128.122.130.25,443,,,,,,,,,2020-03-05T17:07:42.319Z
16d3106a-bc3e-52de-b692-d4320565d126,,,,,,,,,,,,,apps-dev.stern.nyu.edu,128.122.130.189,443,,,,,,,,,2020-03-05T17:06:26.046Z
7d662fca-5b6e-5cce-bc85-05a9bc322a91,,,,,,,,,,,,,clame.nyu.edu,66.228.45.202,443,,,,,,,,,2020-03-05T13:47:16.404Z
5ed03b5c-84ff-55b4-986b-7c31bb87c429,,,,,,,,,,,,,engineering.nyu.edu,52.4.249.152,443,,,,,,,,,2020-03-05T09:27:19.023Z
d921a118-6f13-50e2-afa5-33d582cc1f12,,,,,,,,,,,,,Plumix.com,91.205.174.26,443,,,,,,,,,2020-03-05T07:30:46.835Z
90e92864-379b-56da-967c-aacb7dbcb5e6,,,,,,,,,,,,,mail.nyumc.org,47.19.237.172,443,,,,,,,,,2020-03-05T06:36:29.686Z
e98a699c-e857-5f52-b13d-ab1ab0f64630,,,,,,,,,,,,,mail.nyumc.org,47.19.237.152,443,,,,,,,,,2020-03-05T06:32:44.202Z
47070409-5d46-5c18-b08b-3a9d326cf253,,,,,,,,,,,,,rooms.library.nyu.edu,128.122.149.134,443,,,,,,,,,2020-03-05T05:17:44.369Z
c307c9c1-8b5f-5125-acd4-28c0ceeffa5b,,,,,,,,,,,,,*.getit.library.nyu.edu,128.122.149.164,443,,,,,,,,,2020-03-05T05:16:46.072Z
d2dc251d-b46c-53ac-a05e-5750209b301c,,,,,,,,,,,,,pdsdev.library.nyu.edu,128.122.149.82,443,,,,,,,,,2020-03-05T05:10:28.509Z
3d02ae24-9b1b-5241-8617-43cb4f206a44,,,,,,,,,,,,,*.nyuad-artscenter.org,52.220.171.155,443,,,,,,,,,2020-03-05T01:15:28.502Z
2206d392-184e-55bd-92d7-51087f174c50,,,,,,,,,,,,,engineering.nyu.edu,54.209.255.182,443,,,,,,,,,2020-03-04T21:53:40.189Z
e51ac9b8-a66a-5da1-92a8-cc94e5f6be35,,,,,,,,,,,,,www.nyu.edu,216.165.85.208,443,,,,,,,,,2020-03-04T21:26:43.254Z
4fad23ce-7afe-583c-8316-8e502d5b9b5a,,,,,,,,,,,,,*.med.nyu.edu,47.19.237.150,443,,,,,,,,,2020-03-04T20:07:13.182Z
1ba677f0-d427-55ae-ac2e-7f8b834cee57,,,,,,,,,,,,,cic.nyu.edu,128.122.109.30,443,,,,,,,,,2020-03-04T19:31:00.813Z
998fb575-329f-59cd-97e7-332651475704,,,,,,,,,,,,,mail.nyumc.org,216.165.125.29,443,,,,,,,,,2020-03-04T18:01:35.455Z
5cb065f8-8275-58e3-9796-dce68eb86499,,,,,,,,,,,,,berlin-ib.berlin.nyu.edu,193.175.54.7,443,,,,,,,,,2020-03-04T17:57:05.540Z
