Issue ID,First Observed,Last Observed,CVE,Vulnerability,Certificate Common Name,ipAddress,ipAddresses,hostname,port,email,productName,productVersion,Certificate Common Name,Certificate Authority,Start Date,Expiration Date,Collection Target,Port,banner,Data,source,url,explanation,vulnerabilityDescription,vulnerabilityPublishDate,Last Observed,Last Observed
7ce36eb4-7733-513f-b8b7-ff002410f1b6,,,,,,,,,,,,,vpn.nyu.edu,Internet2,2016-08-29T04:00:00.000Z,2019-09-02T23:59:59.000Z,128.122.252.77,443,,,,,,,,,2020-03-05T14:21:40.141Z
0500fb7e-6859-507d-b9d2-4994e1ef9e67,,,,,,,,,,,,,engineering.nyu.edu,SomeOrganization,2015-04-27T15:17:12.000Z,2016-04-26T15:17:12.000Z,52.4.249.152,443,,,,,,,,,2020-03-05T09:27:19.023Z
403e9a90-211b-5594-8b4e-95043ed59dd2,,,,,,,,,,,,,engineering.nyu.edu,Internet2,2017-10-26T04:00:00.000Z,2018-11-08T23:59:59.000Z,54.209.255.182,443,,,,,,,,,2020-03-04T21:53:40.189Z
ef399cfb-4aeb-581a-b938-cf7ce5096cb2,,,,,,,,,,,,,iiq.nyu.edu,Internet2,2016-01-14T05:00:00.000Z,2019-01-13T23:59:59.000Z,216.165.85.206,443,,,,,,,,,2020-03-04T21:35:42.732Z
44a8fbe6-57be-5c41-a8a4-c98a5fa31673,,,,,,,,,,,,,newhome.nyu.edu,Internet2,2015-09-08T04:00:00.000Z,2018-09-07T23:59:59.000Z,216.165.85.220,443,,,,,,,,,2020-03-04T20:34:16.256Z
cc9c43ba-56c6-5efe-82e5-d35c555abaca,,,,,,,,,,,,,ccs3usr.engineering.nyu.edu,Let's Encrypt,2019-03-03T07:37:05.000Z,2019-06-01T07:37:05.000Z,216.165.2.135,443,,,,,,,,,2020-03-04T20:24:40.473Z
7381f2a0-445b-50b1-a269-fd9eb2da7088,,,,,,,,,,,,,nomad.noc.nyu.edu,Internet2,2014-12-16T05:00:00.000Z,2017-12-15T23:59:59.000Z,128.122.253.9,143,,,,,,,,,2020-03-04T04:47:15.412Z
ffdead93-0dc7-51f7-b0b2-7921828107b6,,,,,,,,,,,,,nomad.noc.nyu.edu,Internet2,2014-12-16T05:00:00.000Z,2017-12-15T23:59:59.000Z,128.122.253.9,110,,,,,,,,,2020-03-03T14:25:58.938Z
f1a8f3c5-bf32-514a-8f05-003ed93bb1a1,,,,,,,,,,,,,courant.nyu.edu,Internet2,2016-10-21T04:00:00.000Z,2019-10-21T23:59:59.000Z,128.122.49.48,443,,,,,,,,,2020-02-08T06:45:42.969Z
7f6b53ba-0524-55d4-9113-fccca18638b9,,,,,,,,,,,,,symmetry.cs.nyu.edu,Internet2,2016-01-15T05:00:00.000Z,2019-01-14T23:59:59.000Z,128.122.49.59,443,,,,,,,,,2020-02-08T06:29:41.832Z
3193d2f9-9970-5585-bf9c-8e8075c75662,,,,,,,,,,,,,porta.law.nyu.edu,s Encrypt,2019-03-19T01:21:07.000Z,2019-06-17T01:21:07.000Z,128.122.94.94,443,,,,,,,,,2020-02-08T02:32:31.193Z
7c812810-4a28-5975-a28b-9f5ca76b4c23,,,,,,,,,,,,,vpnsec.nyu.edu,Internet2,2016-03-29T04:00:00.000Z,2019-03-29T23:59:59.000Z,128.122.252.71,443,,,,,,,,,2020-02-08T01:58:06.656Z
39a5b69c-a922-5d00-9c59-2557c5203634,,,,,,,,,,,,,spark.stern.nyu.edu,Internet2,2014-12-15T05:00:00.000Z,2017-12-14T23:59:59.000Z,23.23.104.134,443,,,,,,,,,2020-02-07T19:17:51.403Z
5ed1c9d6-d18b-5486-bfa9-8992ca481dab,,,,,,,,,,,,,tick.nyu.edu,New York University,2009-07-20T15:16:52.000Z,2012-07-19T15:16:52.000Z,128.122.253.8,443,,,,,,,,,2020-02-07T17:41:57.559Z
36ddf9c7-91ec-5c35-a829-44e6e2c3c199,,,,,,,,,,,,,nyu.edu,Internet2,2013-01-29T05:00:00.000Z,2016-01-29T23:59:59.000Z,216.165.85.207,443,,,,,,,,,2020-02-06T14:10:14.892Z
e7b4d396-2ea8-5352-93e0-41a188ecc7cc,,,,,,,,,,,,,novacore.law.nyu.edu,Internet2,2017-01-10T05:00:00.000Z,2019-06-13T23:59:59.000Z,128.122.159.143,443,,,,,,,,,2020-02-06T00:20:14.058Z
5f7b4d59-2531-5b06-8df0-a58991acf0b0,,,,,,,,,,,,,ems-dev.stern.nyu.edu,Internet2,2015-07-15T04:00:00.000Z,2018-07-14T23:59:59.000Z,128.122.130.34,443,,,,,,,,,2020-02-05T14:06:02.085Z
